ClinVar_ID,Position,distance_to_enhancer,distance_to_ctcf,conservation_score,cadd_score,log_distance_to_enhancer,log_distance_to_ctcf,within_1kb_enhancer,within_5kb_enhancer,label,archcode_ssim,vep_score
VCV000633256,5225606,662,20627,24.0,24.0,6.4967749901858625,9.93440465517085,1,1,1,0.9589,0.9
VCV000015112,5225606,662,20627,23.7,23.7,6.4967749901858625,9.93440465517085,1,1,1,0.9589,0.9
VCV000015096,5225607,661,20628,14.3,14.3,6.495265555937008,9.934453131793008,1,1,1,0.9582,0.9
VCV000015250,5225610,658,20631,,,6.490723534502507,9.934598547561182,1,1,1,0.9589,0.2
VCV000015365,5225611,657,20632,23.0,23.0,6.489204931325317,9.93464701478523,1,1,1,0.9588,0.8
VCV000015090,5225611,657,20632,19.7,19.7,6.489204931325317,9.93464701478523,1,1,1,0.9588,0.8
VCV000869318,5225612,656,20633,,,6.48768401848461,9.934695479660322,1,1,1,0.9067,0.9
VCV000015545,5225620,648,20641,24.2,24.2,6.47543271670409,9.935083114125879,1,1,1,0.9577,0.885
VCV000015339,5225621,647,20642,23.1,23.1,6.473890696352274,9.935131557870589,1,1,1,0.9584,0.9
VCV000869317,5225624,644,20645,,,6.4692503167957724,9.935276875025535,1,1,1,0.8901,0.9
VCV001189030,5225638,630,20659,,,6.447305862541213,9.93595474267363,1,1,1,0.9064,0.9
VCV000015290,5225638,630,20659,21.6,21.6,6.447305862541213,9.93595474267363,1,1,1,0.9583,0.9
VCV000928758,5225645,623,20666,,,6.436150368369428,9.936293504261306,1,1,1,0.9073,0.9
VCV000869314,5225645,623,20666,44.0,44.0,6.436150368369428,9.936293504261306,1,1,1,0.8922,0.9
VCV001459872,5225646,622,20667,,,6.434546518787453,9.936341889407075,1,1,1,0.9074,0.9
VCV000869312,5225646,622,20667,,,6.434546518787453,9.936341889407075,1,1,1,0.9074,0.9
VCV000015348,5225647,621,20668,24.8,24.8,6.432940092739179,9.936390272211836,1,1,1,0.9578,0.9
VCV000869311,5225648,620,20669,44.0,44.0,6.431331081933479,9.936438652675815,1,1,1,0.8906,0.9
VCV000801192,5225649,619,20670,35.0,35.0,6.429719478039138,9.936487030799237,1,1,1,0.8933,0.9
VCV000869313,5225654,614,20675,,,6.421622267806518,9.93672888631593,1,1,1,0.9049,0.9
VCV000015537,5225659,609,20680,24.0,24.0,6.413458957167357,9.936970683352676,1,1,1,0.9592,0.9
VCV000015409,5225659,609,20680,24.6,24.6,6.413458957167357,9.936970683352676,1,1,1,0.9592,0.9
VCV001705074,5225660,608,20681,45.0,45.0,6.411818267709897,9.937019035744921,1,1,1,0.8894,0.9
VCV000015483,5225662,606,20683,13.8,13.8,6.408528791059498,9.937115733516112,1,1,1,0.9592,0.9
VCV000495998,5225664,604,20685,,,6.405228458030842,9.93721242193775,1,1,1,0.9077,0.9
VCV000869284,5225666,602,20687,,,6.401917196727186,9.937309101011639,1,1,1,0.9073,0.9
VCV003572119,5225678,590,20699,,,6.3818160174060985,9.93788897925346,1,1,1,0.9061,0.885
VCV000446736,5225678,590,20699,,,6.3818160174060985,9.93788897925346,1,1,1,0.9582,0.885
VCV000015404,5225678,590,20699,38.0,38.0,6.3818160174060985,9.93788897925346,1,1,1,0.8908,0.885
VCV000015292,5225678,590,20699,22.5,22.5,6.3818160174060985,9.93788897925346,1,1,1,0.9582,0.885
VCV000015152,5225678,590,20699,21.3,21.3,6.3818160174060985,9.93788897925346,1,1,1,0.9582,0.885
VCV003769274,5225693,575,20714,,,6.3561076606958915,9.938613354511503,1,1,1,0.9045,0.9
VCV002691364,5225693,575,20714,,,6.3561076606958915,9.938613354511503,1,1,1,0.9045,0.9
VCV000015526,5225695,573,20716,23.3,23.3,6.352629396319567,9.93870989824589,1,1,1,0.959,0.9
VCV004531951,5225696,572,20717,,,6.35088571671474,9.938758166618047,1,1,1,0.905,0.9
VCV000869279,5225696,572,20717,,,6.35088571671474,9.938758166618047,1,1,1,0.905,0.9
VCV000015257,5225696,572,20717,22.4,22.4,6.35088571671474,9.938758166618047,1,1,1,0.9578,0.9
VCV000015513,5225698,570,20719,25.4,25.4,6.3473892096560105,9.938854696373419,1,1,1,0.9595,0.9
VCV000015425,5225698,570,20719,,,6.3473892096560105,9.938854696373419,1,1,1,0.909,0.9
VCV002681990,5225699,569,20720,,,6.345636360828596,9.938902957757083,1,1,1,0.9071,0.9
VCV000869280,5225703,565,20724,35.0,35.0,6.338594078203183,9.939095980003495,1,1,1,0.8884,0.9
VCV000015207,5225705,563,20726,7.5,7.5,6.335054251498059,9.939192477156904,1,1,1,0.9577,0.89
VCV000015352,5225710,558,20731,24.2,24.2,6.326149473155099,9.939433679309596,1,1,1,0.9592,0.9
VCV000015342,5225714,554,20735,14.9,14.9,6.318968113746434,9.939626599152001,1,1,1,0.9587,0.895
VCV000015230,5225714,554,20735,16.6,16.6,6.318968113746434,9.939626599152001,1,1,1,0.9587,0.895
VCV003336287,5225715,553,20736,12.2,12.2,6.317164686747284,9.93967482329784,1,1,1,0.9586,0.89
VCV000439153,5225718,550,20739,,,6.311734809152915,9.939819481783518,1,1,1,0.9047,0.9
VCV002735520,5225719,549,20740,23.7,23.7,6.309918278226516,9.939867696628879,1,1,1,0.9592,0.895
VCV000015487,5225722,546,20743,26.2,26.2,6.304448802421981,9.9400123272185,1,1,1,0.9585,0.9
VCV000015378,5225722,546,20743,25.6,25.6,6.304448802421981,9.9400123272185,1,1,1,0.9585,0.9
VCV000552712,5225727,541,20748,29.3,29.3,6.295266001439646,9.940253331726451,1,1,1,0.9207,0.95
VCV000038671,5225727,541,20748,29.7,29.7,6.295266001439646,9.940253331726451,1,1,1,0.9207,0.95
VCV000015512,5225727,541,20748,28.4,28.4,6.295266001439646,9.940253331726451,1,1,1,0.9207,0.95
VCV000021191,5225728,540,20749,27.3,27.3,6.293419278846481,9.940301525658844,1,1,1,0.92,0.95
VCV000021190,5225728,540,20749,27.4,27.4,6.293419278846481,9.940301525658844,1,1,1,0.92,0.95
VCV000619687,5225729,539,20750,26.6,26.6,6.29156913955832,9.940349717268694,1,1,1,0.9715,0.5
VCV000015451,5225729,539,20750,19.5,19.5,6.29156913955832,9.940349717268694,1,1,1,0.9715,0.5
VCV000869111,5225733,535,20754,8.0,8.0,6.284134161070802,9.940542460487139,1,1,1,0.9717,0.5
VCV000036313,5225740,528,20761,3.9,3.9,6.270988431858299,9.94087967175319,1,1,1,0.9958,0.3
VCV000869277,5225811,457,20832,,,6.126869184114185,9.944293546928382,1,1,1,0.9959,0.1
VCV000015457,5225832,436,20853,0.7,0.7,6.07993319509559,9.945301055349539,1,1,1,0.9959,0.1
VCV000036312,5225872,396,20893,1.2,1.2,5.983936280687191,9.947217315397454,1,1,1,0.9959,0.1
VCV000015458,5225923,345,20944,0.2,0.2,5.846438775057725,9.949655233381135,1,1,1,0.996,0.1
VCV000869236,5225928,340,20949,,,5.831882477283517,9.949893925350283,1,1,1,0.996,0.1
VCV000869356,5226572,304,21593,21.3,21.3,5.720311776607412,9.980170777307086,1,1,1,0.9663,0.81
VCV000015515,5226572,304,21593,,,5.720311776607412,9.980170777307086,1,1,1,0.9951,0.81
VCV000869355,5226575,307,21596,29.3,29.3,5.730099782973574,9.980309695137413,1,1,1,0.9053,0.95
VCV000439146,5226575,307,21596,33.0,33.0,5.730099782973574,9.980309695137413,1,1,1,0.9053,0.95
VCV003781330,5226576,308,21597,,,5.733341276897746,9.980355996792705,1,1,1,0.886,0.95
VCV000869353,5226576,308,21597,,,5.733341276897746,9.980355996792705,1,1,1,0.9018,0.95
VCV000619686,5226576,308,21597,35.0,35.0,5.733341276897746,9.980355996792705,1,1,1,0.9018,0.95
VCV000189128,5226576,308,21597,31.0,31.0,5.733341276897746,9.980355996792705,1,1,1,0.9018,0.95
VCV000015438,5226576,308,21597,29.8,29.8,5.733341276897746,9.980355996792705,1,1,1,0.9018,0.95
VCV000015192,5226580,312,21601,23.8,23.8,5.746203190540153,9.980541181978419,1,1,1,0.9506,0.9
VCV000015317,5226586,318,21607,24.0,24.0,5.765191102784844,9.980818895472451,1,1,1,0.9497,0.9
VCV000015094,5226587,319,21608,25.0,25.0,5.768320995793772,9.980865173557472,1,1,1,0.9502,0.9
VCV000015118,5226588,320,21609,25.2,25.2,5.771441123130016,9.980911449500931,1,1,1,0.9485,0.9
VCV000869351,5226590,322,21611,,,5.777652323222656,9.981003994963956,1,1,1,0.9662,0.9
VCV000015116,5226590,322,21611,26.1,26.1,5.777652323222656,9.981003994963956,1,1,1,0.9495,0.9
VCV000015315,5226593,325,21614,25.9,25.9,5.786897381366708,9.981142797101732,1,1,1,0.9495,0.9
VCV000015204,5226593,325,21614,26.6,26.6,5.786897381366708,9.981142797101732,1,1,1,0.9495,0.9
VCV000015134,5226593,325,21614,25.9,25.9,5.786897381366708,9.981142797101732,1,1,1,0.9495,0.9
VCV000015397,5226594,326,21615,26.0,26.0,5.7899601708972535,9.98118906019998,1,1,1,0.9497,0.885
VCV000015391,5226594,326,21615,25.5,25.5,5.7899601708972535,9.98118906019998,1,1,1,0.9497,0.885
VCV000015236,5226594,326,21615,25.2,25.2,5.7899601708972535,9.98118906019998,1,1,1,0.9497,0.885
VCV000869309,5226596,328,21617,,,5.796057750765372,9.981281579976148,1,1,1,0.9666,0.2
VCV000619685,5226596,328,21617,,,5.796057750765372,9.981281579976148,1,1,1,0.8884,0.9
VCV000015241,5226597,329,21618,25.4,25.4,5.799092654460526,9.981327836654465,1,1,1,0.949,0.89
VCV003766487,5226598,330,21619,13.3,13.3,5.802118375377063,9.9813740911932,1,1,1,0.9501,0.2
VCV000801186,5226598,330,21619,13.4,13.4,5.802118375377063,9.9813740911932,1,1,1,0.9501,0.2
VCV000015259,5226598,330,21619,,,5.802118375377063,9.9813740911932,1,1,1,0.9501,0.2
VCV000015390,5226599,331,21620,24.3,24.3,5.805134968916488,9.98142034359255,1,1,1,0.9502,0.895
VCV000015607,5226600,332,21621,24.6,24.6,5.808142489980444,9.981466593852717,1,1,1,0.9502,0.9
VCV004277917,5226602,334,21623,25.6,25.6,5.814130531825066,9.981559087956283,1,1,1,0.9508,0.9
VCV000036309,5226604,336,21625,,,5.820082930352362,9.981651573505482,1,1,1,0.888,0.9
VCV000015428,5226608,340,21629,,,5.831882477283517,9.981836518947105,1,1,1,0.8902,0.9
VCV000015104,5226609,341,21630,24.6,24.6,5.834810737062605,9.981882749963502,1,1,1,0.9497,0.9
VCV004280311,5226611,343,21632,,,5.840641657373398,9.981975205584869,1,1,1,0.8695,0.9
VCV002664746,5226613,345,21634,22.2,22.2,5.846438775057725,9.982067652658985,1,1,1,0.9492,0.2
VCV000811500,5226613,345,21634,22.1,22.1,5.846438775057725,9.982067652658985,1,1,1,0.9492,0.2
VCV000015208,5226613,345,21634,,,5.846438775057725,9.982067652658985,1,1,1,0.9492,0.2
VCV000015494,5226615,347,21636,25.1,25.1,5.8522024797744745,9.98216009118743,1,1,1,0.9491,0.9
VCV000015255,5226615,347,21636,25.3,25.3,5.8522024797744745,9.98216009118743,1,1,1,0.9491,0.9
VCV000869310,5226616,348,21637,,,5.855071922202427,9.98220630724752,1,1,1,0.887,0.9
VCV000015338,5226617,349,21638,25.3,25.3,5.857933154483459,9.982252521171782,1,1,1,0.9496,0.9
VCV000015311,5226619,351,21640,20.5,20.5,5.863631175598097,9.982344942613622,1,1,1,0.9494,0.9
VCV000869308,5226621,353,21642,,,5.869296913133774,9.982437355514529,1,1,1,0.8875,0.9
VCV000446747,5226621,353,21642,22.1,22.1,5.869296913133774,9.982437355514529,1,1,1,0.9498,0.9
VCV000015504,5226621,353,21642,37.0,37.0,5.869296913133774,9.982437355514529,1,1,1,0.8694,0.9
VCV000015147,5226623,355,21644,24.2,24.2,5.87493073085203,9.982529759876082,1,1,1,0.9493,0.9
VCV002681986,5226624,356,21645,,,5.877735781779639,9.982575958855092,1,1,1,0.8679,0.9
VCV000015383,5226624,356,21645,24.2,24.2,5.877735781779639,9.982575958855092,1,1,1,0.9492,0.9
VCV000869306,5226625,357,21646,,,5.8805329864007,9.982622155699856,1,1,1,0.8893,0.9
VCV000015343,5226626,358,21647,24.2,24.2,5.883322388488279,9.982668350410568,1,1,1,0.9493,0.9
VCV000015108,5226626,358,21647,24.1,24.1,5.883322388488279,9.982668350410568,1,1,1,0.9493,0.9
VCV000869275,5226627,359,21648,,,5.886104031450156,9.98271454298743,1,1,1,0.8698,0.9
VCV000015493,5226629,361,21650,9.0,9.0,5.8916442118257715,9.982806921740384,1,1,1,0.9497,0.9
VCV000869301,5226632,364,21653,,,5.8998973535824915,9.982945473870844,1,1,1,0.8886,0.9
VCV000869303,5226633,365,21654,,,5.902633333401366,9.982991653648726,1,1,1,0.8854,0.9
VCV000015122,5226635,367,21656,21.9,21.9,5.908082938168931,9.983084006807271,1,1,1,0.9504,0.9
VCV000869302,5226636,368,21657,,,5.910796644040527,9.983130180188324,1,1,1,0.8874,0.9
VCV000869274,5226636,368,21657,,,5.910796644040527,9.983130180188324,1,1,1,0.8874,0.9
VCV000036306,5226641,373,21662,,,5.924255797414532,9.983361015119291,1,1,1,0.8878,0.9
VCV000618675,5226643,375,21664,22.7,22.7,5.929589143389895,9.98345333417401,1,1,1,0.9506,0.2
VCV000446737,5226643,375,21664,,,5.929589143389895,9.98345333417401,1,1,1,0.9506,0.2
VCV000015319,5226643,375,21664,,,5.929589143389895,9.98345333417401,1,1,1,0.9506,0.2
VCV000015321,5226644,376,21665,23.5,23.5,5.932245187448011,9.983499490505512,1,1,1,0.9502,0.895
VCV000015193,5226644,376,21665,24.1,24.1,5.932245187448011,9.983499490505512,1,1,1,0.9502,0.895
VCV000869299,5226648,380,21669,,,5.942799375126701,9.983684094530405,1,1,1,0.8888,0.9
VCV000869273,5226656,388,21677,,,5.963579343618446,9.984053200375696,1,1,1,0.8907,0.9
VCV000632846,5226657,389,21678,,,5.966146739123692,9.984099329028517,1,1,1,0.8896,0.9
VCV001065151,5226658,390,21679,,,5.968707559985366,9.984145455553582,1,1,1,0.8881,0.9
VCV000495983,5226666,398,21687,,,5.988961416889864,9.984514391178502,1,1,1,0.8881,0.9
VCV000993070,5226667,399,21688,,,5.991464547107982,9.984560498562606,1,1,1,0.8854,0.9
VCV000619856,5226667,399,21688,,,5.991464547107982,9.984560498562606,1,1,1,0.8854,0.9
VCV000015560,5226671,403,21692,,,6.0014148779611505,9.984744906843062,1,1,1,0.8855,0.9
VCV004280310,5226672,404,21693,,,6.003887067106539,9.984791003600163,1,1,1,0.9508,0.5
VCV000869269,5226672,404,21693,,,6.003887067106539,9.984791003600163,1,1,1,0.8724,0.5
VCV000618160,5226672,404,21693,,,6.003887067106539,9.984791003600163,1,1,1,0.89,0.5
VCV000015419,5226674,406,21695,,,6.008813185442595,9.984883190740122,1,1,1,0.8865,0.9
VCV000015433,5226675,407,21696,,,6.0112671744041615,9.984929281123371,1,1,1,0.8707,0.9
VCV000869268,5226676,408,21697,,,6.013715156042802,9.984975369382395,1,1,1,0.8874,0.9
VCV000869265,5226680,412,21701,,,6.023447592961033,9.985159701180153,1,1,1,0.8877,0.9
VCV000869266,5226683,415,21704,,,6.030685260261263,9.985297927733694,1,1,1,0.8864,0.9
VCV000015271,5226686,418,21707,23.8,23.8,6.037870919922137,9.985436135183296,1,1,1,0.9491,0.9
VCV000015117,5226686,418,21707,23.3,23.3,6.037870919922137,9.985436135183296,1,1,1,0.9491,0.9
VCV000015613,5226687,419,21708,17.9,17.9,6.040254711277414,9.985482200088756,1,1,1,0.949,0.895
VCV000036303,5226688,420,21709,,,6.042632833682381,9.985528262872338,1,1,1,0.8861,0.9
VCV000015254,5226689,421,21710,25.5,25.5,6.045005314036012,9.985574323534237,1,1,1,0.9497,0.9
VCV004532968,5226690,422,21711,,,6.0473721790462776,9.98562038207465,1,1,1,0.8887,0.9
VCV000015536,5226690,422,21711,24.5,24.5,6.0473721790462776,9.98562038207465,1,1,1,0.9503,0.9
VCV000036302,5226691,423,21712,,,6.049733455231958,9.985666438493771,1,1,1,0.8867,0.9
VCV000015136,5226692,424,21713,24.0,24.0,6.052089168924417,9.985712492791798,1,1,1,0.9508,0.9
VCV000869229,5226693,425,21714,40.0,40.0,6.054439346269371,9.985758544968922,1,1,1,0.8715,0.9
VCV001074874,5226696,428,21717,36.0,36.0,6.061456918928017,9.985896688776846,1,1,1,0.8678,0.9
VCV000869228,5226697,429,21718,,,6.063785208687608,9.98594273247232,1,1,1,0.8873,0.9
VCV000015429,5226698,430,21719,,,6.066108090103747,9.985988774047872,1,1,1,0.885,0.9
VCV000015400,5226701,433,21722,24.7,24.7,6.073044534100405,9.98612688605693,1,1,1,0.9485,0.9
VCV000694445,5226702,434,21723,25.7,25.7,6.075346031088684,9.986172919154736,1,1,1,0.9496,0.9
VCV000015256,5226702,434,21723,25.8,25.8,6.075346031088684,9.986172919154736,1,1,1,0.9496,0.9
VCV000015407,5226708,440,21729,36.0,36.0,6.089044875446846,9.986449073250474,1,1,1,0.8709,0.9
VCV000015411,5226710,442,21731,25.9,25.9,6.093569770045136,9.986541107671414,1,1,1,0.9496,0.85
VCV000869225,5226713,445,21734,,,6.100318952020064,9.986679143422892,1,1,1,0.8851,0.9
VCV000869224,5226714,446,21735,38.0,38.0,6.102558594613569,9.986725151106183,1,1,1,0.8694,0.9
VCV000869346,5226715,447,21736,,,6.104793232414985,9.986771156672866,1,1,1,0.8852,0.9
VCV000869223,5226715,447,21736,,,6.104793232414985,9.986771156672866,1,1,1,0.8852,0.9
VCV000632845,5226716,448,21737,,,6.1070228877422545,9.986817160123133,1,1,1,0.8883,0.9
VCV000869222,5226721,453,21742,,,6.118097198041348,9.987047145635058,1,1,1,0.8667,0.9
VCV000590977,5226724,456,21745,,,6.124683390894205,9.987185111557695,1,1,1,0.8841,0.9
VCV000869349,5226725,457,21746,,,6.126869184114185,9.987231095968987,1,1,1,0.8883,0.9
VCV000869347,5226727,459,21748,,,6.131226489483141,9.98732305844836,1,1,1,0.8888,0.9
VCV000869345,5226728,460,21749,,,6.133398042996649,9.98736903651683,1,1,1,0.887,0.9
VCV003599785,5226732,464,21753,24.0,24.0,6.142037405587356,9.987552927653796,1,1,1,0.9487,0.9
VCV000038659,5226737,469,21758,,,6.152732694704104,9.987782744031522,1,1,1,0.8879,0.9
VCV000869342,5226742,474,21763,,,6.163314804034641,9.988012507605816,1,1,1,0.8852,0.9
VCV000439135,5226745,477,21766,,,6.169610732491456,9.988150340414837,1,1,1,0.8875,0.9
VCV000015485,5226748,480,21769,,,6.175867270105761,9.988288154228593,1,1,1,0.8849,0.9
VCV000869340,5226749,481,21770,,,6.1779441140506,9.988334087946246,1,1,1,0.8873,0.9
VCV000869339,5226753,485,21774,,,6.186208623900494,9.988517801720704,1,1,1,0.8905,0.9
VCV000869338,5226754,486,21775,,,6.18826412308259,9.988563724891247,1,1,1,0.886,0.9
VCV000015546,5226755,487,21776,25.7,25.7,6.1903154058531475,9.98860964595295,1,1,1,0.9502,0.9
VCV000015415,5226757,489,21778,,,6.194405391104672,9.988701481750608,1,1,1,0.8849,0.9
VCV000869298,5226761,493,21782,,,6.202535517187923,9.988885128048356,1,1,1,0.8857,0.9
VCV003572115,5226762,494,21783,,,6.20455776256869,9.988931034353595,1,1,1,0.8659,0.9
VCV000869297,5226762,494,21783,,,6.20455776256869,9.988931034353595,1,1,1,0.8659,0.9
VCV000015406,5226762,494,21783,36.0,36.0,6.20455776256869,9.988931034353595,1,1,1,0.8659,0.9
VCV000869296,5226763,495,21784,,,6.206575926724928,9.988976938551543,1,1,1,0.8889,0.9
VCV000015417,5226763,495,21784,,,6.206575926724928,9.988976938551543,1,1,1,0.8889,0.9
VCV000015190,5226764,496,21785,26.3,26.3,6.208590026096629,9.989022840642392,1,1,1,0.9512,0.9
VCV004795169,5226765,497,21786,25.4,25.4,6.210600077024653,9.989068740626333,1,1,1,0.9494,0.89
VCV001098798,5226765,497,21786,,,6.210600077024653,9.989068740626333,1,1,1,0.8867,0.89
VCV000015347,5226765,497,21786,25.5,25.5,6.210600077024653,9.989068740626333,1,1,1,0.9494,0.89
VCV000015251,5226765,497,21786,25.4,25.4,6.210600077024653,9.989068740626333,1,1,1,0.9494,0.89
VCV000869295,5226766,498,21787,,,6.212606095751519,9.989114638503565,1,1,1,0.8901,0.9
VCV000869294,5226769,501,21790,,,6.218600119691729,9.989252319496922,1,1,1,0.887,0.9
VCV002577315,5226770,502,21791,,,6.220590170099739,9.989298208949238,1,1,1,0.8874,0.9
VCV000015427,5226772,504,21793,,,6.22455842927536,9.989389981536831,1,1,1,0.8735,0.9
VCV000869292,5226774,506,21795,,,6.2285110035911835,9.989481745702989,1,1,1,0.8888,0.9
VCV000869264,5226774,506,21795,,,6.2285110035911835,9.989481745702989,1,1,1,0.8888,0.9
VCV000015551,5226774,506,21795,,,6.2285110035911835,9.989481745702989,1,1,1,0.8888,0.9
VCV000015402,5226774,506,21795,40.0,40.0,6.2285110035911835,9.989481745702989,1,1,1,0.871,0.9
VCV002681976,5226778,510,21799,,,6.236369590203704,9.98966524877718,1,1,1,0.8673,0.9
VCV000015405,5226778,510,21799,42.0,42.0,6.236369590203704,9.98966524877718,1,1,1,0.8673,0.9
VCV000439782,5226779,511,21800,42.0,42.0,6.238324625039508,9.989711119284745,1,1,1,0.8678,0.9
VCV000015431,5226780,512,21801,,,6.240275845170769,9.989756987688304,1,1,1,0.8891,0.9
VCV000015424,5226782,514,21803,,,6.244166900663736,9.989848718184172,1,1,1,0.8857,0.9
VCV000869263,5226784,516,21805,38.0,38.0,6.248042874508429,9.989940440266327,1,1,1,0.872,0.9
VCV000015408,5226784,516,21805,38.0,38.0,6.248042874508429,9.989940440266327,1,1,1,0.872,0.9
VCV000869262,5226785,517,21806,25.7,25.7,6.249975242259483,9.989986298152745,1,1,1,0.9503,0.9
VCV003781328,5226786,518,21807,,,6.251903883165888,9.990032153936314,1,1,1,0.8898,0.9
VCV000015532,5226788,520,21809,,,6.255750041753367,9.990123859195675,1,1,1,0.9499,0.5
VCV000015312,5226789,521,21810,25.2,25.2,6.257667587882639,9.990169708671852,1,1,1,0.9505,0.9
VCV000478852,5226794,526,21815,25.7,25.7,6.267200548541362,9.990398924525424,1,1,1,0.9483,0.9
VCV000015308,5226794,526,21815,26.1,26.1,6.267200548541362,9.990398924525424,1,1,1,0.9483,0.9
VCV002024192,5226796,528,21817,,,6.270988431858299,9.990490596157702,1,1,1,0.9004,0.2
VCV000869322,5226797,529,21818,,,6.272877006546167,9.99053642882265,1,1,1,0.9027,0.95
VCV000015442,5226797,529,21818,,,6.272877006546167,9.99053642882265,1,1,1,0.9027,0.95
VCV000869321,5226799,531,21820,25.2,25.2,6.2766434893416445,9.990628087851128,1,1,1,0.9486,0.895
VCV000439166,5226800,532,21821,33.0,33.0,6.278521424165844,9.990673914215044,1,1,1,0.9065,0.95
VCV000015446,5226800,532,21821,35.0,35.0,6.278521424165844,9.990673914215044,1,1,1,0.9065,0.95
VCV000439167,5226801,533,21822,31.0,31.0,6.280395838960195,9.990719738479,1,1,1,0.9045,0.95
VCV000015562,5226801,533,21822,29.6,29.6,6.280395838960195,9.990719738479,1,1,1,0.9045,0.95
VCV000036341,5226802,534,21823,11.9,11.9,6.282266746896006,9.990765560643188,1,1,1,0.9592,0.5
VCV000550356,5226814,546,21835,0.6,0.6,6.304448802421981,9.991315262901649,1,1,1,0.9954,0.3
VCV000015454,5226820,552,21841,2.6,2.6,6.315358001522335,9.991590000757673,1,1,1,0.9954,0.15
VCV000015445,5226903,635,21924,,,6.455198563340122,9.995382817240383,1,1,1,0.9068,0.95
VCV000015450,5226924,656,21945,18.3,18.3,6.48768401848461,9.996340169550745,1,1,1,0.9594,0.35
VCV000015449,5226925,657,21946,20.5,20.5,6.489204931325317,9.996385734902859,1,1,1,0.9592,0.4
VCV000015448,5226925,657,21946,20.3,20.3,6.489204931325317,9.996385734902859,1,1,1,0.9592,0.4
VCV000015447,5226925,657,21946,20.3,20.3,6.489204931325317,9.996385734902859,1,1,1,0.9592,0.4
VCV000619860,5226928,660,21949,35.0,35.0,6.493753839851686,9.996522418503318,1,1,1,0.9071,0.95
VCV000038667,5226928,660,21949,34.0,34.0,6.493753839851686,9.996522418503318,1,1,1,0.9071,0.95
VCV000036334,5226928,660,21949,32.0,32.0,6.493753839851686,9.996522418503318,1,1,1,0.9071,0.95
VCV000869246,5226929,661,21950,34.0,34.0,6.495265555937008,9.99656797555214,1,1,1,0.9075,0.95
VCV000015437,5226929,661,21950,34.0,34.0,6.495265555937008,9.99656797555214,1,1,1,0.9075,0.95
VCV000015436,5226929,661,21950,34.0,34.0,6.495265555937008,9.99656797555214,1,1,1,0.9075,0.95
VCV003766927,5226930,662,21951,35.0,35.0,6.4967749901858625,9.996613530525611,1,1,1,0.9533,0.9
VCV000036337,5226930,662,21951,34.0,34.0,6.4967749901858625,9.996613530525611,1,1,1,0.9533,0.9
VCV000015234,5226930,662,21951,35.0,35.0,6.4967749901858625,9.996613530525611,1,1,1,0.9533,0.9
VCV000869243,5226931,663,21952,35.0,35.0,6.498282149476434,9.996659083423923,1,1,1,0.952,0.5
VCV000590773,5226931,663,21952,22.7,22.7,6.498282149476434,9.996659083423923,1,1,1,0.9989,0.5
VCV004532970,5226932,664,21953,,,6.499787040655854,9.996704634247262,1,1,1,0.8932,0.9
VCV000869241,5226933,665,21954,,,6.501289670540389,9.996750182995818,1,1,1,0.893,0.89
VCV000015252,5226933,665,21954,24.6,24.6,6.501289670540389,9.996750182995818,1,1,1,0.9523,0.89
