ClinVar_ID,Position_GRCh38,Category,label,is_pearl,ssim,lssim,delta_ssim,delta_lssim,delta_insulation,loop_integrity,struct_disruption_ratio,vep_score,sift_score,cadd_phred,dist_to_lcr,dist_to_nearest_enhancer,dist_to_nearest_ctcf,dist_to_tss,in_hbb_gene,log_dist_lcr,log_dist_enhancer,log_dist_ctcf,log_dist_tss,cat_missense,cat_nonsense,cat_splice,cat_frameshift,cat_synonymous,cat_3_prime_UTR,cat_5_prime_UTR,cat_promoter,cat_other,cat_non_coding
VCV000869258,5225490,3_prime_UTR,1,0,0.9985,0.9919,0.0015,0.0081,0.0164,0.0,5.4,0.15,-1.0,19.9,50310,778,20511,778,1,4.7017,2.8915,4.312,2.8915,0,0,0,0,0,0,0,0,1,0
VCV000869261,5225493,3_prime_UTR,1,0,0.9984,0.9915,0.0016,0.0085,0.0171,0.0,5.3125,0.15,-1.0,-1.0,50307,775,20514,775,1,4.7016,2.8899,4.3121,2.8899,0,0,0,0,0,0,0,0,1,0
VCV001127267,5225564,3_prime_UTR,0,0,0.9984,0.9916,0.0016,0.0084,0.017,0.0,5.25,0.15,-1.0,0.3,50236,704,20585,704,1,4.701,2.8482,4.3136,2.8482,0,0,0,0,0,0,0,0,1,0
VCV000869260,5225566,3_prime_UTR,1,0,0.9985,0.992,0.0015,0.008,0.0167,0.0,5.3333,0.15,-1.0,3.3,50234,702,20587,702,1,4.701,2.847,4.3136,2.847,0,0,0,0,0,0,0,0,1,0
VCV000393707,5225592,3_prime_UTR,1,0,0.9985,0.9918,0.0015,0.0082,0.0166,0.0,5.4666,0.15,-1.0,3.5,50208,676,20613,676,1,4.7008,2.8306,4.3142,2.8306,0,0,0,0,0,0,0,0,1,0
VCV000015395,5225602,missense,1,0,0.9938,0.9647,0.0062,0.0353,0.0345,0.0,5.6935,0.9,0.0,22.4,50198,666,20623,666,1,4.7007,2.8241,4.3144,2.8241,1,0,0,0,0,0,0,0,0,0
VCV000015144,5225602,missense,1,0,0.9938,0.9647,0.0062,0.0353,0.0345,0.0,5.6935,0.9,0.0,22.3,50198,666,20623,666,1,4.7007,2.8241,4.3144,2.8241,1,0,0,0,0,0,0,0,0,0
VCV000015200,5225603,missense,1,0,0.9931,0.9612,0.0069,0.0388,0.0363,0.0,5.6232,0.9,0.0,23.8,50197,665,20624,665,1,4.7007,2.8235,4.3144,2.8235,1,0,0,0,0,0,0,0,0,0
VCV000015265,5225604,nonsense,1,0,0.985,0.908,0.015,0.092,0.0536,0.0,6.1333,0.9,-1.0,37.0,50196,664,20625,664,1,4.7007,2.8228,4.3144,2.8228,0,1,0,0,0,0,0,0,0,0
VCV000015322,5225605,missense,1,0,0.9935,0.9616,0.0065,0.0384,0.0349,0.0,5.9077,0.9,0.0,24.8,50195,663,20626,663,1,4.7007,2.8222,4.3144,2.8222,1,0,0,0,0,0,0,0,0,0
VCV000633256,5225606,missense,1,0,0.9935,0.9616,0.0065,0.0384,0.0342,0.0,5.9077,0.9,0.0,24.0,50194,662,20627,662,1,4.7007,2.8215,4.3145,2.8215,1,0,0,0,0,0,0,0,0,0
VCV000015112,5225606,missense,1,0,0.9935,0.9616,0.0065,0.0384,0.0342,0.0,5.9077,0.9,0.0,23.7,50194,662,20627,662,1,4.7007,2.8215,4.3145,2.8215,1,0,0,0,0,0,0,0,0,0
VCV000015096,5225607,missense,1,0,0.9936,0.9622,0.0064,0.0378,0.0345,0.0,5.9062,0.9,0.0,14.3,50193,661,20628,661,1,4.7007,2.8209,4.3145,2.8209,1,0,0,0,0,0,0,0,0,0
VCV001104204,5225607,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0055,0.0,4.4998,0.05,-1.0,0.9,50193,661,20628,661,1,4.7007,2.8209,4.3145,2.8209,0,0,0,0,1,0,0,0,0,0
VCV000015250,5225610,missense,1,0,0.9939,0.9648,0.0061,0.0352,0.0339,0.0,5.7705,0.2,-1.0,-1.0,50190,658,20631,658,1,4.7006,2.8189,4.3145,2.8189,1,0,0,0,0,0,0,0,0,0
VCV000015365,5225611,missense,1,0,0.9936,0.9631,0.0064,0.0369,0.0351,0.0,5.7656,0.8,0.2,23.0,50189,657,20632,657,1,4.7006,2.8182,4.3146,2.8182,1,0,0,0,0,0,0,0,0,0
VCV000015090,5225611,missense,1,0,0.9936,0.9631,0.0064,0.0369,0.0351,0.0,5.7656,0.8,0.2,19.7,50189,657,20632,657,1,4.7006,2.8182,4.3146,2.8182,1,0,0,0,0,0,0,0,0,0
VCV000869318,5225612,frameshift,1,0,0.9859,0.9145,0.0141,0.0855,0.0506,0.0,6.0638,0.9,-1.0,-1.0,50188,656,20633,656,1,4.7006,2.8176,4.3146,2.8176,0,0,0,1,0,0,0,0,0,0
VCV001121500,5225616,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0054,0.0,4.4998,0.05,-1.0,10.4,50184,652,20637,652,1,4.7006,2.8149,4.3147,2.8149,0,0,0,0,1,0,0,0,0,0
VCV000015545,5225620,missense,1,0,0.9938,0.9637,0.0062,0.0363,0.034,0.0,5.8548,0.885,0.03,24.2,50180,648,20641,648,1,4.7005,2.8122,4.3148,2.8122,1,0,0,0,0,0,0,0,0,0
VCV000015339,5225621,missense,1,0,0.9937,0.9635,0.0063,0.0365,0.0349,0.0,5.7936,0.9,0.0,23.1,50179,647,20642,647,1,4.7005,2.8116,4.3148,2.8116,1,0,0,0,0,0,0,0,0,0
VCV000869317,5225624,nonsense,1,0,0.9845,0.9074,0.0155,0.0926,0.0544,0.0,5.9742,0.9,-1.0,-1.0,50176,644,20645,644,1,4.7005,2.8096,4.3148,2.8096,0,1,0,0,0,0,0,0,0,0
VCV001999798,5225634,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0057,0.0,4.4998,0.05,-1.0,8.9,50166,634,20655,634,1,4.7004,2.8028,4.315,2.8028,0,0,0,0,1,0,0,0,0,0
VCV001189030,5225638,frameshift,1,0,0.9869,0.9202,0.0131,0.0798,0.0506,0.0,6.0916,0.9,0.0,-1.0,50162,630,20659,630,1,4.7004,2.8,4.3151,2.8,0,0,0,1,0,0,0,0,0,0
VCV000015290,5225638,missense,1,0,0.994,0.9646,0.006,0.0354,0.034,0.0,5.9,0.9,0.0,21.6,50162,630,20659,630,1,4.7004,2.8,4.3151,2.8,1,0,0,0,0,0,0,0,0,0
VCV000762836,5225640,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0055,0.0,4.4998,0.05,-1.0,9.2,50160,628,20661,628,1,4.7004,2.7987,4.3152,2.7987,0,0,0,0,1,0,0,0,0,0
VCV000928758,5225645,frameshift,1,0,0.9859,0.9171,0.0141,0.0829,0.0537,0.0,5.8794,0.9,-1.0,-1.0,50155,623,20666,623,1,4.7003,2.7952,4.3153,2.7952,0,0,0,1,0,0,0,0,0,0
VCV000869314,5225645,nonsense,1,0,0.9837,0.9038,0.0163,0.0962,0.0578,0.0,5.9018,0.9,-1.0,44.0,50155,623,20666,623,1,4.7003,2.7952,4.3153,2.7952,0,1,0,0,0,0,0,0,0,0
VCV001459872,5225646,frameshift,1,0,0.9863,0.9178,0.0137,0.0822,0.0505,0.0,6.0,0.9,-1.0,-1.0,50154,622,20667,622,1,4.7003,2.7945,4.3153,2.7945,0,0,0,1,0,0,0,0,0,0
VCV000869312,5225646,frameshift,1,0,0.9863,0.9178,0.0137,0.0822,0.0505,0.0,6.0,0.9,-1.0,-1.0,50154,622,20667,622,1,4.7003,2.7945,4.3153,2.7945,0,0,0,1,0,0,0,0,0,0
VCV000015348,5225647,missense,1,0,0.9932,0.9627,0.0068,0.0373,0.0357,0.0,5.4853,0.9,0.0,24.8,50153,621,20668,621,1,4.7003,2.7938,4.3153,2.7938,1,0,0,0,0,0,0,0,0,0
VCV000869311,5225648,nonsense,1,0,0.9836,0.9034,0.0164,0.0966,0.0567,0.0,5.8902,0.9,-1.0,44.0,50152,620,20669,620,1,4.7003,2.7931,4.3153,2.7931,0,1,0,0,0,0,0,0,0,0
VCV000801192,5225649,nonsense,1,0,0.9836,0.9015,0.0164,0.0985,0.0556,0.0,6.0061,0.9,-1.0,35.0,50151,619,20670,619,1,4.7003,2.7924,4.3154,2.7924,0,1,0,0,0,0,0,0,0,0
VCV000869313,5225654,frameshift,1,0,0.9853,0.9127,0.0147,0.0873,0.0534,0.0,5.9388,0.9,-1.0,-1.0,50146,614,20675,614,1,4.7002,2.7889,4.3155,2.7889,0,0,0,1,0,0,0,0,0,0
VCV000991115,5225655,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0055,0.0,4.4998,0.05,-1.0,10.2,50145,613,20676,613,1,4.7002,2.7882,4.3155,2.7882,0,0,0,0,1,0,0,0,0,0
VCV000015537,5225659,missense,1,0,0.9931,0.9605,0.0069,0.0395,0.0363,0.0,5.7246,0.9,0.0,24.0,50141,609,20680,609,1,4.7002,2.7853,4.3156,2.7853,1,0,0,0,0,0,0,0,0,0
VCV000015409,5225659,missense,1,0,0.9931,0.9605,0.0069,0.0395,0.0363,0.0,5.7246,0.9,0.0,24.6,50141,609,20680,609,1,4.7002,2.7853,4.3156,2.7853,1,0,0,0,0,0,0,0,0,0
VCV001705074,5225660,nonsense,1,0,0.9838,0.9033,0.0162,0.0967,0.0552,0.0,5.9691,0.9,-1.0,45.0,50140,608,20681,608,1,4.7002,2.7846,4.3156,2.7846,0,1,0,0,0,0,0,0,0,0
VCV001142046,5225661,synonymous,0,0,0.9998,0.9992,0.0002,0.0008,0.0055,0.0,3.9998,0.05,-1.0,1.4,50139,607,20682,607,1,4.7002,2.7839,4.3156,2.7839,0,0,0,0,1,0,0,0,0,0
VCV000015483,5225662,missense,1,0,0.9932,0.9613,0.0068,0.0387,0.0356,0.0,5.6912,0.9,0.0,13.8,50138,606,20683,606,1,4.7002,2.7832,4.3156,2.7832,1,0,0,0,0,0,0,0,0,0
VCV000495998,5225664,frameshift,1,0,0.9856,0.9146,0.0144,0.0854,0.0523,0.0,5.9306,0.9,-1.0,-1.0,50136,604,20685,604,1,4.7002,2.7818,4.3157,2.7818,0,0,0,1,0,0,0,0,0,0
VCV000869284,5225666,frameshift,1,0,0.9865,0.9185,0.0135,0.0815,0.0513,0.0,6.037,0.9,-1.0,-1.0,50134,602,20687,602,1,4.7001,2.7803,4.3157,2.7803,0,0,0,1,0,0,0,0,0,0
VCV000995800,5225669,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0054,0.0,4.4998,0.9,0.0,19.8,50131,599,20690,599,1,4.7001,2.7782,4.3158,2.7782,0,0,0,0,1,0,0,0,0,0
VCV002501083,5225670,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0056,0.0,4.4998,0.05,-1.0,3.6,50130,598,20691,598,1,4.7001,2.7774,4.3158,2.7774,0,0,0,0,1,0,0,0,0,0
VCV001321374,5225670,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0056,0.0,4.4998,0.05,-1.0,3.6,50130,598,20691,598,1,4.7001,2.7774,4.3158,2.7774,0,0,0,0,1,0,0,0,0,0
VCV001301331,5225670,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0056,0.0,4.4998,0.05,-1.0,4.4,50130,598,20691,598,1,4.7001,2.7774,4.3158,2.7774,0,0,0,0,1,0,0,0,0,0
VCV003572119,5225678,frameshift,1,0,0.9856,0.9155,0.0144,0.0845,0.0521,0.0,5.8681,0.885,0.03,-1.0,50122,590,20699,590,1,4.7,2.7716,4.316,2.7716,0,0,0,1,0,0,0,0,0,0
VCV000446736,5225678,missense,1,0,0.9934,0.9626,0.0066,0.0374,0.035,0.0,5.6667,0.885,0.03,-1.0,50122,590,20699,590,1,4.7,2.7716,4.316,2.7716,1,0,0,0,0,0,0,0,0,0
VCV000015404,5225678,nonsense,1,0,0.9834,0.902,0.0166,0.098,0.056,0.0,5.9036,0.885,0.03,38.0,50122,590,20699,590,1,4.7,2.7716,4.316,2.7716,0,1,0,0,0,0,0,0,0,0
VCV000015292,5225678,missense,1,0,0.9934,0.9626,0.0066,0.0374,0.035,0.0,5.6667,0.885,0.03,22.5,50122,590,20699,590,1,4.7,2.7716,4.316,2.7716,1,0,0,0,0,0,0,0,0,0
VCV000015152,5225678,missense,1,0,0.9934,0.9626,0.0066,0.0374,0.035,0.0,5.6667,0.885,0.03,21.3,50122,590,20699,590,1,4.7,2.7716,4.316,2.7716,1,0,0,0,0,0,0,0,0,0
VCV001120940,5225679,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0054,0.0,4.4998,0.05,-1.0,1.0,50121,589,20700,589,1,4.7,2.7709,4.316,2.7709,0,0,0,0,1,0,0,0,0,0
VCV002045808,5225685,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0055,0.0,4.4998,0.05,-1.0,2.0,50115,583,20706,583,1,4.7,2.7664,4.3161,2.7664,0,0,0,0,1,0,0,0,0,0
VCV002844469,5225688,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0054,0.0,4.4998,0.05,-1.0,4.9,50112,580,20709,580,1,4.7,2.7642,4.3162,2.7642,0,0,0,0,1,0,0,0,0,0
VCV000917608,5225691,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0057,0.0,4.4998,0.05,-1.0,1.0,50109,577,20712,577,1,4.6999,2.7619,4.3162,2.7619,0,0,0,0,1,0,0,0,0,0
VCV003769274,5225693,frameshift,1,0,0.9865,0.9193,0.0135,0.0807,0.0506,0.0,5.9778,0.9,-1.0,-1.0,50107,575,20714,575,1,4.6999,2.7604,4.3163,2.7604,0,0,0,1,0,0,0,0,0,0
VCV002691364,5225693,frameshift,1,0,0.9865,0.9193,0.0135,0.0807,0.0506,0.0,5.9778,0.9,-1.0,-1.0,50107,575,20714,575,1,4.6999,2.7604,4.3163,2.7604,0,0,0,1,0,0,0,0,0,0
VCV002752834,5225694,synonymous,0,0,0.9998,0.9992,0.0002,0.0008,0.0054,0.0,3.9998,0.05,-1.0,2.7,50106,574,20715,574,1,4.6999,2.7597,4.3163,2.7597,0,0,0,0,1,0,0,0,0,0
VCV000015526,5225695,missense,1,0,0.9935,0.9617,0.0065,0.0383,0.0346,0.0,5.8923,0.9,0.0,23.3,50105,573,20716,573,1,4.6999,2.7589,4.3163,2.7589,1,0,0,0,0,0,0,0,0,0
VCV004531951,5225696,frameshift,1,0,0.9853,0.9141,0.0147,0.0859,0.0528,0.0,5.8435,0.9,0.0,-1.0,50104,572,20717,572,1,4.6999,2.7582,4.3163,2.7582,0,0,0,1,0,0,0,0,0,0
VCV000869279,5225696,frameshift,1,0,0.9853,0.9141,0.0147,0.0859,0.0528,0.0,5.8435,0.9,0.0,-1.0,50104,572,20717,572,1,4.6999,2.7582,4.3163,2.7582,0,0,0,1,0,0,0,0,0,0
VCV000015257,5225696,missense,1,0,0.9932,0.962,0.0068,0.038,0.0355,0.0,5.5882,0.9,0.0,22.4,50104,572,20717,572,1,4.6999,2.7582,4.3163,2.7582,1,0,0,0,0,0,0,0,0,0
VCV004753219,5225697,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0054,0.0,4.4998,0.05,-1.0,11.1,50103,571,20718,571,1,4.6999,2.7574,4.3164,2.7574,0,0,0,0,1,0,0,0,0,0
VCV000015513,5225698,missense,1,0,0.9937,0.9635,0.0063,0.0365,0.0351,0.0,5.7936,0.9,-1.0,25.4,50102,570,20719,570,1,4.6999,2.7566,4.3164,2.7566,1,0,0,0,0,0,0,0,0,0
VCV000015425,5225698,frameshift,1,0,0.9862,0.9174,0.0138,0.0826,0.0522,0.0,5.9855,0.9,-1.0,-1.0,50102,570,20719,570,1,4.6999,2.7566,4.3164,2.7566,0,0,0,1,0,0,0,0,0,0
VCV002681990,5225699,frameshift,1,0,0.9863,0.9179,0.0137,0.0821,0.0513,0.0,5.9927,0.9,-1.0,-1.0,50101,569,20720,569,1,4.6999,2.7559,4.3164,2.7559,0,0,0,1,0,0,0,0,0,0
VCV000869280,5225703,nonsense,1,0,0.9839,0.9029,0.0161,0.0971,0.0557,0.0,6.0311,0.9,-1.0,35.0,50097,565,20724,565,1,4.6998,2.7528,4.3165,2.7528,0,1,0,0,0,0,0,0,0,0
VCV002873194,5225703,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0055,0.0,4.4998,0.05,-1.0,5.3,50097,565,20724,565,1,4.6998,2.7528,4.3165,2.7528,0,0,0,0,1,0,0,0,0,0
VCV000015207,5225705,missense,1,0,0.9936,0.9627,0.0064,0.0373,0.0345,0.0,5.8281,0.89,0.02,7.5,50095,563,20726,563,1,4.6998,2.7513,4.3165,2.7513,1,0,0,0,0,0,0,0,0,0
VCV001552953,5225706,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0057,0.0,4.4998,0.05,-1.0,3.8,50094,562,20727,562,1,4.6998,2.7505,4.3166,2.7505,0,0,0,0,1,0,0,0,0,0
VCV000015352,5225710,missense,1,0,0.9934,0.962,0.0066,0.038,0.0356,0.0,5.7576,0.9,0.0,24.2,50090,558,20731,558,1,4.6998,2.7474,4.3166,2.7474,1,0,0,0,0,0,0,0,0,0
VCV001997274,5225711,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0054,0.0,4.4998,0.05,-1.0,4.8,50089,557,20732,557,1,4.6998,2.7466,4.3167,2.7466,0,0,0,0,1,0,0,0,0,0
VCV001161533,5225712,synonymous,0,0,0.9998,0.9991,0.0002,0.0009,0.0054,0.0,4.4998,0.05,-1.0,5.4,50088,556,20733,556,1,4.6997,2.7459,4.3167,2.7459,0,0,0,0,1,0,0,0,0,0
VCV000015342,5225714,missense,1,0,0.9936,0.9627,0.0064,0.0373,0.0345,0.0,5.8281,0.895,0.01,14.9,50086,554,20735,554,1,4.6997,2.7443,4.3167,2.7443,1,0,0,0,0,0,0,0,0,0
VCV000015230,5225714,missense,1,0,0.9936,0.9627,0.0064,0.0373,0.0345,0.0,5.8281,0.895,0.01,16.6,50086,554,20735,554,1,4.6997,2.7443,4.3167,2.7443,1,0,0,0,0,0,0,0,0,0
VCV003336287,5225715,missense,1,0,0.9936,0.962,0.0064,0.038,0.0344,0.0,5.9375,0.89,0.02,12.2,50085,553,20736,553,1,4.6997,2.7435,4.3167,2.7435,1,0,0,0,0,0,0,0,0,0
VCV000439153,5225718,frameshift,1,0,0.9855,0.9143,0.0145,0.0857,0.0531,0.0,5.9103,0.9,-1.0,-1.0,50082,550,20739,550,1,4.6997,2.7412,4.3168,2.7412,0,0,0,1,0,0,0,0,0,0
VCV002735520,5225719,missense,1,0,0.9936,0.963,0.0064,0.037,0.0352,0.0,5.7812,0.895,0.01,23.7,50081,549,20740,549,1,4.6997,2.7404,4.3168,2.7404,1,0,0,0,0,0,0,0,0,0
VCV000015487,5225722,missense,1,0,0.9932,0.9613,0.0068,0.0387,0.0361,0.0,5.6912,0.9,0.0,26.2,50078,546,20743,546,1,4.6997,2.738,4.3169,2.738,1,0,0,0,0,0,0,0,0,0
VCV000015378,5225722,missense,1,0,0.9932,0.9613,0.0068,0.0387,0.0361,0.0,5.6912,0.9,0.0,25.6,50078,546,20743,546,1,4.6997,2.738,4.3169,2.738,1,0,0,0,0,0,0,0,0,0
VCV000552712,5225727,splice_donor,1,0,0.9879,0.9277,0.0121,0.0723,0.0482,0.0,5.9752,0.95,-1.0,29.3,50073,541,20748,541,1,4.6996,2.734,4.317,2.734,0,0,1,0,0,0,0,0,0,0
VCV000038671,5225727,splice_donor,1,0,0.9879,0.9277,0.0121,0.0723,0.0482,0.0,5.9752,0.95,-1.0,29.7,50073,541,20748,541,1,4.6996,2.734,4.317,2.734,0,0,1,0,0,0,0,0,0,0
VCV000015512,5225727,splice_donor,1,0,0.9879,0.9277,0.0121,0.0723,0.0482,0.0,5.9752,0.95,-1.0,28.4,50073,541,20748,541,1,4.6996,2.734,4.317,2.734,0,0,1,0,0,0,0,0,0,0
VCV000021191,5225728,splice_donor,1,0,0.9882,0.9302,0.0118,0.0698,0.0467,0.0,5.9152,0.95,-1.0,27.3,50072,540,20749,540,1,4.6996,2.7332,4.317,2.7332,0,0,1,0,0,0,0,0,0,0
VCV000021190,5225728,splice_donor,1,0,0.9882,0.9302,0.0118,0.0698,0.0467,0.0,5.9152,0.95,-1.0,27.4,50072,540,20749,540,1,4.6996,2.7332,4.317,2.7332,0,0,1,0,0,0,0,0,0,0
VCV000619687,5225729,splice_region,1,0,0.9955,0.9744,0.0045,0.0256,0.0287,0.0,5.6889,0.5,-1.0,26.6,50071,539,20750,539,1,4.6996,2.7324,4.317,2.7324,0,0,1,0,0,0,0,0,0,0
VCV000015451,5225729,splice_region,1,0,0.9955,0.9744,0.0045,0.0256,0.0287,0.0,5.6889,0.5,-1.0,19.5,50071,539,20750,539,1,4.6996,2.7324,4.317,2.7324,0,0,1,0,0,0,0,0,0,0
VCV000869111,5225733,splice_region,1,0,0.9956,0.9749,0.0044,0.0251,0.0285,0.0,5.7045,0.5,-1.0,8.0,50067,535,20754,535,1,4.6996,2.7292,4.3171,2.7292,0,0,1,0,0,0,0,0,0,0
VCV002789444,5225735,intronic,0,0,0.9993,0.9965,0.0007,0.0035,0.011,0.0,4.9999,0.5,-1.0,2.6,50065,533,20756,533,1,4.6995,2.7275,4.3172,2.7275,0,0,0,0,0,0,0,0,1,0
VCV001583301,5225735,intronic,0,0,0.9993,0.9965,0.0007,0.0035,0.011,0.0,4.9999,0.5,-1.0,2.1,50065,533,20756,533,1,4.6995,2.7275,4.3172,2.7275,0,0,0,0,0,0,0,0,1,0
VCV001117784,5225736,intronic,0,0,0.9993,0.9964,0.0007,0.0036,0.011,0.0,5.1428,0.5,-1.0,4.5,50064,532,20757,532,1,4.6995,2.7267,4.3172,2.7267,0,0,0,0,0,0,0,0,1,0
VCV001121225,5225737,intronic,0,0,0.9993,0.9965,0.0007,0.0035,0.0109,0.0,4.9999,0.1,-1.0,3.6,50063,531,20758,531,1,4.6995,2.7259,4.3172,2.7259,0,0,0,0,0,0,0,0,1,0
VCV002747182,5225739,intronic,0,0,0.9993,0.9964,0.0007,0.0036,0.0111,0.0,5.1428,0.1,-1.0,1.3,50061,529,20760,529,1,4.6995,2.7243,4.3172,2.7243,0,0,0,0,0,0,0,0,1,0
VCV000036313,5225740,intronic,1,0,0.9993,0.9964,0.0007,0.0036,0.0113,0.0,5.1428,0.3,-1.0,3.9,50060,528,20761,528,1,4.6995,2.7235,4.3173,2.7235,0,0,0,0,0,0,0,0,1,0
VCV002849566,5225740,intronic,0,0,0.9993,0.9964,0.0007,0.0036,0.0113,0.0,5.1428,0.1,-1.0,4.5,50060,528,20761,528,1,4.6995,2.7235,4.3173,2.7235,0,0,0,0,0,0,0,0,1,0
VCV001101246,5225741,intronic,0,0,0.9993,0.9964,0.0007,0.0036,0.0112,0.0,5.1428,0.1,-1.0,0.0,50059,527,20762,527,1,4.6995,2.7226,4.3173,2.7226,0,0,0,0,0,0,0,0,1,0
VCV002826637,5225750,intronic,0,0,0.9993,0.9963,0.0007,0.0037,0.0114,0.0,5.2856,0.1,-1.0,0.2,50050,518,20771,518,1,4.6994,2.7152,4.3175,2.7152,0,0,0,0,0,0,0,0,1,0
VCV002742971,5225750,intronic,0,0,0.9993,0.9963,0.0007,0.0037,0.0114,0.0,5.2856,0.1,-1.0,0.2,50050,518,20771,518,1,4.6994,2.7152,4.3175,2.7152,0,0,0,0,0,0,0,0,1,0
VCV002086460,5225751,intronic,0,0,0.9994,0.9966,0.0006,0.0034,0.0107,0.0,5.6666,0.1,-1.0,0.4,50049,517,20772,517,1,4.6994,2.7143,4.3175,2.7143,0,0,0,0,0,0,0,0,1,0
VCV001964131,5225751,intronic,0,0,0.9994,0.9966,0.0006,0.0034,0.0107,0.0,5.6666,0.1,-1.0,0.4,50049,517,20772,517,1,4.6994,2.7143,4.3175,2.7143,0,0,0,0,0,0,0,0,1,0
VCV002811518,5225753,intronic,0,0,0.9994,0.9964,0.0006,0.0036,0.0108,0.0,5.9999,0.1,-1.0,3.7,50047,515,20774,515,1,4.6994,2.7126,4.3175,2.7126,0,0,0,0,0,0,0,0,1,0
VCV001544426,5225754,intronic,0,0,0.9993,0.9964,0.0007,0.0036,0.0109,0.0,5.1428,0.1,-1.0,3.6,50046,514,20775,514,1,4.6994,2.7118,4.3176,2.7118,0,0,0,0,0,0,0,0,1,0
VCV000811029,5225754,intronic,0,0,0.9993,0.9964,0.0007,0.0036,0.0109,0.0,5.1428,0.1,-1.0,4.4,50046,514,20775,514,1,4.6994,2.7118,4.3176,2.7118,0,0,0,0,0,0,0,0,1,0
VCV001623587,5225755,intronic,0,0,0.9993,0.9965,0.0007,0.0035,0.0113,0.0,4.9999,0.1,-1.0,1.6,50045,513,20776,513,1,4.6994,2.711,4.3176,2.711,0,0,0,0,0,0,0,0,1,0
